cycle,category,l1_count,l2_count,folder_status,date,verdict,evidence_l1,evidence_l2
op-c0-derivation-from-substrate-2026-05-09,PROJECTION_SUSPECTED,0,2,?,2026-05-09,?,,β_ppE
op-emergent-metric-from-interaction-2026-05-09,PROJECTION_SUSPECTED,0,14,closed-resolved,2026-05-09,STRUCTURAL_DERIVED,,ppE|γ_PPN|β_PPN|β_ppE
op-g0-r3-from-canonical-projection,PROJECTION_SUSPECTED,0,14,closed-resolved,2026-05-02,?,,PPN|γ_PPN|β_PPN
op-h-TT-calibration-2026-05-09,PROJECTION_SUSPECTED,0,3,closed-conditional-adversarial,2026-05-09,?,,ppE|PPN
op-kappa-sigma-2body-PN-2026-05-09,PROJECTION_SUSPECTED,0,3,closed-resolved-heuristic,2026-05-09,?,,ppE|β_ppE
op-L01-N1-EM-trace-anomaly-TGP-2026-05-11,PROJECTION_SUSPECTED,0,2,?,2026-05-11,?,,PPN|ppE
op-L01-rho-stress-energy-bridge-2026-05-04,PROJECTION_SUSPECTED,1,4,closed-resolved,2026-05-04,?,D/H,PPN|ppE
op-LIGO-3G-deviation,PROJECTION_SUSPECTED,0,11,paused,2026-05-07,?,,ppE|β_ppE
op-recovery-V-LIGO-regime-2026-05-10,PROJECTION_SUSPECTED,0,6,parking,2026-05-10,?,,γ_PPN|β_PPN|ppE
op-S07-alternative-f-psi-derivation-2026-05-09,PROJECTION_SUSPECTED,0,12,active,2026-05-09,?,,ppE|β_ppE|PPN|γ_PPN|β_PPN
