# CYCLES.tsv — mapa cykli research/ (generowane: tooling/build_cycles_index.py)
# wygenerowano: 2026-09-14 | cykli: 265
# status: wip=w ruchu | locked=LOCK bez realizacji | paused=zamrozony | parking=pomysl | closed=zamkniety | legacy=generacja sprzed 2026-05
# realny WIP jest w STATE.md §Active WIP — to jest indeks, nie zrodlo prawdy o priorytetach
slug	status	data	faza	werdykt	tytul
op-D01-anchor-lock-2026-05-06	locked	2026-05-06	Phase 0		D01 anchor lock + propagacja parametrów (Φ₀, α_s, m_H, Σm_ν, g_0^e)
op-collapse-matter-source-2026-09-14	locked	2026-09-14	Phase 0		README — op-collapse-matter-source: status kolapsu do granicy dziedziny — czy korpusowe sprzężenie z materią …
op-oscillon-small-amplitude-2026-09-14	locked	2026-09-14	Phase 0		README — op-oscillon-small-amplitude: właściwy test predykcji P1b (ω₂=−139/24<0) — oscylony małej amplitudy w…
op-A3-alpha-resolution-2026-06-14	paused		FINAL	DERIVED-INCONSISTENCY: relacja EL poprawna; α=2 ⟺ Φ∝u (amplituda), sprzeczne z Φ=⟨ŝ²⟩∝u²; pod ontol…	op-A3-alpha-resolution — rozstrzygnięcie niespójności α=2 ↔ K(φ) (lemat A3 / thm:D-uniqueness)
op-CE-H-3D-native-interaction-2026-05-22	paused		FINAL		op-CE-H-3D-native-interaction-2026-05-22 — Poziom γ-1: native 3D U(1) interaction F-γ-1 CRUCIAL TEST
op-CE-H-3D-native-interaction-retry-2026-05-23	paused		FINAL		op-CE-H-3D-native-interaction-retry-2026-05-23 — Poziom γ-1 retry z §3.6 extension compliance
op-CE-H-gamma-3-cosmological-2026-05-23	paused		FINAL		op-CE-H-gamma-3-cosmological-2026-05-23 — Poziom γ-3 cosmological extension (F-γ-3 H_0 PRIMARY KILLER)
op-CE-H-gamma-3-cosmological-revisit-2026-05-24	paused		FINAL		op-CE-H-gamma-3-cosmological-revisit-2026-05-24 — γ-3' z c(Φ) per §3.6.13 BINDING
op-CE-H-gamma-5-c-interpretation-2026-05-24	paused		FINAL		op-CE-H-gamma-5-c-interpretation-2026-05-24 — Poziom γ-5 c interpretation + F8 re-test + GR predictions (BIND…
op-CE-H-gamma-7-clumping-acceleration-2026-05-24	paused		FINAL		op-CE-H-gamma-7-clumping-acceleration-2026-05-24 — F8 acceleration via mass-clumping effective-space (BINDING…
op-CE-H-two-particle-equilibrium-2026-05-21	paused		FINAL		op-CE-H-two-particle-equilibrium — Toy test of CE-H structural claim (Poziom β)
op-CG34-continuum-closure-2026-06-14	paused		FINAL	CG-3=ZAMKNIĘTY NUM; CG-4=PARTIAL (c*/β=γ/K_hom-forma zamknięte; α=2↔K(φ) do dopięcia)	op-CG34-continuum-closure — domknięcie CG-3 (homogenizacja Φ_B→Φ w H¹) i CG-4 (K_hom=K_TGP)
op-Csigma-lattice-MC-2026-06-14	paused		FINAL	PARTIAL — κ_E≈0.62=O(1), pasmo [0.04,11.1] obejmuje 5/6 i 1; lean strukturalny FALSIFIED; residual …	op-Csigma-lattice-MC — liczbowe wyznaczenie T=C_σσ_0² (tensor stiffness) z kierunkowego bąbla ⟨O_ab O_cd⟩ na …
op-EMT-emergent-time-2026-05-24	paused		pre-Phase 0 (skeleton)		op-EMT-emergent-time — TGP emergent-time formalism + (z, d_L) re-derivation
