cycle,category,l1_count,l2_count,folder_status,date,verdict,evidence_l1,evidence_l2
brannen_sqrt2,NATIVE_CLEAN,2,0,paused,2026-05-03,?,mas,
op-delta2-Nf-derivation,NATIVE_CLEAN,2,0,paused,2026-05-02,?,H_0|mas,
op-EFT-Phi0-multi-scale-2026-05-10,NATIVE_CLEAN,3,0,closed-resolved,2026-05-10,?,H_0,
op-gamma-RG-running-derivation-2026-05-10,NATIVE_CLEAN,5,0,closed-resolved,2026-05-10,?,H_0,
op-gamma1-phi-eff-anchor-resolution,NATIVE_CLEAN,2,1,paused,2026-05-02,?,H_0,PPN
op-L01-N2-QCD-trace-anomaly-cosmology-2026-05-11,NATIVE_CLEAN,4,0,?,2026-05-11,?,D/H,
op-mPhi-level0-verification-2026-05-09,NATIVE_CLEAN,2,2,?,2026-05-09,?,Hz|H_0,β_ppE
op-omicron2-phi-mean-shift-cosmo,NATIVE_CLEAN,2,0,closed-NULL,2026-05-03,?,H_0,
op-Phase5-MAG-erratum-2026-05-09,NATIVE_CLEAN,2,0,closed-resolved,2026-05-09,?,H_0,
op-Phi-vacuum-scale-2026-05-09,NATIVE_CLEAN,5,0,closed-resolved,2026-05-09,STRUCTURAL_DERIVED_CONDITIONAL_HALT,H_0,
op-scalar-mode-LIGO-bound-2026-05-09,NATIVE_CLEAN,2,0,amended-conditional,2026-05-09,?,H_0,
op-uv-renormalizability-research,NATIVE_CLEAN,2,0,needs-bridge,2026-04-28,?,H_0,
op-void-flat-modes-h0-2026-05-06,NATIVE_CLEAN,29,4,closed-NULL,2026-05-06,?,w_eff|H_0|mas|H(z),PPN|γ_PPN|β_PPN
why_n3,NATIVE_CLEAN,3,0,paused,2026-05-03,?,mas,
